Model,Accuracy,Precision,Recall,F1 Score,ROC-AUC
logistic_regression,0.715,0.5176470588235295,0.7333333333333333,0.6068965517241379,0.7480952380952381
decision_tree,0.675,0.4576271186440678,0.45,0.453781512605042,0.6107142857142857
random_forest,0.75,0.578125,0.6166666666666667,0.5967741935483871,0.7810714285714285
