Model,Accuracy,Precision,Recall,F1-Score
svm,0.59375,0.6052370966354232,0.59375,0.5925261387782871
random_forest,0.5451388888888888,0.546710527723397,0.5451388888888888,0.529218278444509
mlp,0.5798611111111112,0.5780593864808371,0.5798611111111112,0.571788865321474
