Model,Accuracy,Precision,Recall,F1-Score
svm,0.4756944444444444,0.5174800304460865,0.4756944444444444,0.4841936684180212
random_forest,0.5416666666666666,0.5476871804107692,0.5416666666666666,0.5359473660284402
mlp,0.5729166666666666,0.5854870169820335,0.5729166666666666,0.5744218618433332
